ward_x,Local_Authority_D_x,cluster5
Allerton and Hunts Cross,Liverpool,4
Anfield,Liverpool,0
Belle Vale,Liverpool,0
Central,Liverpool,1
Childwall,Liverpool,4
Church,Liverpool,4
Clubmoor,Liverpool,0
County,Liverpool,0
Cressington,Liverpool,4
Croxteth,Liverpool,0
Everton,Liverpool,2
Fazakerley,Liverpool,0
Greenbank,Liverpool,1
Kensington and Fairfield,Liverpool,2
Kirkdale,Liverpool,2
Knotty Ash,Liverpool,0
Mossley Hill,Liverpool,4
Norris Green,Liverpool,0
Old Swan,Liverpool,0
Picton,Liverpool,2
Princes Park,Liverpool,2
Riverside,Liverpool,1
St Michael's,Liverpool,1
Speke-Garston,Liverpool,0
Tuebrook and Stoneycroft,Liverpool,0
Warbreck,Liverpool,0
Wavertree,Liverpool,0
West Derby,Liverpool,0
Woolton,Liverpool,3
Yew Tree,Liverpool,0
Ancoats & Beswick,Manchester,1
Ardwick,Manchester,2
Baguley,Manchester,0
Brooklands,Manchester,0
Burnage,Manchester,2
Charlestown,Manchester,2
Cheetham,Manchester,2
Chorlton,Manchester,1
Chorlton Park,Manchester,1
Clayton & Openshaw,Manchester,2
Crumpsall,Manchester,2
Deansgate,Manchester,1
Didsbury East,Manchester,1
Didsbury West,Manchester,1
Fallowfield,Manchester,1
Gorton & Abbey Hey,Manchester,2
Harpurhey,Manchester,2
Higher Blackley,Manchester,0
Hulme,Manchester,1
Levenshulme,Manchester,2
Longsight,Manchester,2
Miles Platting & Newton Heath,Manchester,2
Moss Side,Manchester,2
Moston,Manchester,2
Northenden,Manchester,0
Old Moat,Manchester,1
Piccadilly,Manchester,1
Rusholme,Manchester,2
Sharston,Manchester,0
Whalley Range,Manchester,2
Withington,Manchester,1
Woodhouse Park,Manchester,0
